"playername","playername2","Sackmann_playername","Sackmann_id"
"Godwin N.","godwin n","Neville Godwin","102524"
"Goellner M.K.","goellner m k","Marc Kevin Goellner","101806"
"Goffin D.","goffin d","David Goffin","105676"
"Gojowczyk P.","gojowczyk p","Peter Gojowczyk","105376"
"Golding O.","golding o","Oliver Golding","106244"
"Goldstein P.","goldstein p","Paul Goldstein","102834"
"Golmard J.","golmard j","Jerome Golmard","102259"
"Golovanov D.","golovanov d","Denis Golovanov","103350"
"Golubev A.","golubev a","Andrey Golubev","104979"
"Gombos N.","gombos n","Norbert Gombos","105613"
"Gomez-Herrera C.","gomez herrera c","Carlos Gomez Herrera","105529"
"Gomez A.","gomez a","Alejandro Gomez GB42","105826"
"Gomez E.","gomez e","Emilio Gomez","105877"
"Gomez L.","gomez l","Lucas Gomez","106412"
"Gong M.X.","gong m x","Mao Xin Gong","105001"
"Gonzalez A.","gonzalez a","Alejandro Gonzalez","105292"
"Gonzalez F.","gonzalez f","Fernando Gonzalez","103602"
"Gonzalez F. ","gonzalez f","Fernando Gonzalez","103602"
"Gonzalez M.","gonzalez m","Maximo Gonzalez","104216"
"Gonzalez P.","gonzalez p","Pablo Gonzalez","104027"
"Gonzalez S.","gonzalez s","Santiago Gonzalez","104136"
"Goodall J.","goodall j","Joshua Goodall","104624"
"Goodall J.","goodall j","Josh Goodall","104623"
"Gooding J.","gooding j","Jay Gooding","102789"
"Goransson T.","goransson t","Tim Goransson","105131"
"Granollers-Pujol G.","granollers pujol g","Gerard Granollers","105283"
"Granollers-Pujol M.","granollers m","Marcel Granollers","104719"
"Granollers G.","granollers pujol g","Gerard Granollers","105283"
"Granollers M.","granollers m","Marcel Granollers","104719"
"Granollers M. ","granollers m","Marcel Granollers","104719"
"Granollers Pujol G.","granollers pujol g","Gerard Granollers","105283"
"Gregorc L.","gregorc l","Luka Gregorc","104305"
"Gremelmayr D.","gremelmayr d","Denis Gremelmayr","103823"
"Greul S.","greul s","Simon Greul","103752"
"Greul S. ","greul s","Simon Greul","103752"
"Grigelis L.","grigelis l","Laurynas Grigelis","105827"
"Grosjean S.","grosjean s","Sebastien Grosjean","103206"
"Gross O.","gross o","Oliver Gross","102234"
"Groth S.","groth s","Samuel Groth","105032"
"Gruber K.","gruber k","Konstantin Don Gruber","103460"
"Guardiola T.","guardiola t","Thierry Guardiola","101945"
"Guccione C.","guccione c","Chris Guccione","104589"
