"Players","Ratings","games","Hard_Ratings","Hard_games","Grass_Ratings","Grass_games","Clay_Ratings","Clay_games","Carpet_Ratings","Carpet_games","Nationality","Handed"
"Mazarakis V.",1469.79784827307,5,1487.8302268569,2,1500,0,1479.47666665586,3,1500,0,"GRE","R"
"Matias N.",1491.01528537986,1,1500,0,1500,0,1491.63092477634,1,1500,0,"POR","R"
"Marin L.",1491.9799029113,1,1500,0,1500,0,1491.95506355199,1,1500,0,"SRB","U"
"Albert M.",1491.69177480461,1,1500,0,1500,0,1491.81362554781,1,1500,0,"EGY","R"
"Ager J.",1478.19088993287,2,1500,0,1500,0,1479.48550209901,2,1500,0,"RSA","U"
"Dreekmann H.",1490.92573357338,2,1500,0,1480.89447305724,2,1500,0,1500,0,"GER","R"
"Coetzee J.",1489.77769641876,1,1500,0,1489.4295143488,1,1500,0,1500,0,"RSA","R"
"Ivanov-Smolensky K.",1477.21740037984,2,1489.74340604333,1,1489.41997675982,1,1500,0,1500,0,"RUS","R"
"Golovanov D.",1482.80779456429,2,1492.60347986833,1,1488.26248044733,1,1500,0,1500,0,"RUS","L"
"Mackin A.",1434.99548058209,9,1489.60088760897,1,1442.41466438107,6,1485.02598660107,2,1500,0,"GBR","R"
"Todero N.",1490.45623015361,1,1500,0,1500,0,1490.00856459281,1,1500,0,"ARG","R"
"Ellwood B.",1487.79336181615,1,1500,0,1489.4134830451,1,1500,0,1500,0,"AUS","R"
"Kennedy A.",1473.96544430972,3,1483.63532989816,2,1488.81476246319,1,1500,0,1500,0,"USA",""
"Nijaki R.",1490.53481626628,1,1500,0,1500,0,1490.5256775406,1,1500,0,"POL","R"
"Dabrowski B.",1491.3442845878,2,1500,0,1500,0,1489.17216550665,2,1500,0,"POL","U"
"Agaev E.",1491.11482343265,1,1490.0659657687,1,1500,0,1500,0,1500,0,"AZE","R"
"Spracklin T.",1488.12974687884,1,1488.5751328967,1,1500,0,1500,0,1500,0,"USA","R"
"Hanley P.",1489.67495173554,1,1488.47367485534,1,1500,0,1500,0,1500,0,"AUS","R"
"Lukaev R.",1487.98237348428,1,1487.7606074953,1,1500,0,1500,0,1500,0,"BUL","R"
"Kunitcin I.",1488.65535311954,1,1489.01058941137,1,1500,0,1500,0,1500,0,NA,NA
"Craca M.",1488.67564486635,1,1500,0,1500,0,1488.49664838811,1,1500,0,"GER","R"
